[Log] Move up: Extra score - 818.4 Avg number of moves 65.2 (ai.js, line 39)
[Log] Move up: Extra score - 1055.2 Avg number of moves 85 (ai.js, line 39)
[Log] Move right: Extra score - 689.6 Avg number of moves 53.4 (ai.js, line 39)
[Log] Move down: Extra score - 644.8 Avg number of moves 47.4 (ai.js, line 39)
[Log] Move left: Extra score - 515.2 Avg number of moves 41.6 (ai.js, line 39)
[Log] Move down: Extra score - 682.4 Avg number of moves 52.6 (ai.js, line 39)
[Log] Move right: Extra score - 1191.2 Avg number of moves 79.8 (ai.js, line 39)
[Log] Move up: Extra score - 788 Avg number of moves 61 (ai.js, line 39)
[Log] Move right: Extra score - 874.4 Avg number of moves 71.6 (ai.js, line 39)
[Log] Move up: Extra score - 555.2 Avg number of moves 52.4 (ai.js, line 39)
[Log] Move up: Extra score - 1034.4 Avg number of moves 86.4 (ai.js, line 39)
[Log] Move left: Extra score - 1058.4 Avg number of moves 89 (ai.js, line 39)
[Log] Move left: Extra score - 532 Avg number of moves 59 (ai.js, line 39)
[Log] Move left: Extra score - 880.8 Avg number of moves 75 (ai.js, line 39)
[Log] Move right: Extra score - 602.4 Avg number of moves 49.8 (ai.js, line 39)
[Log] Move up: Extra score - 745.6 Avg number of moves 68.8 (ai.js, line 39)
[Log] Move left: Extra score - 740 Avg number of moves 70.6 (ai.js, line 39)
[Log] Move left: Extra score - 463.2 Avg number of moves 42 (ai.js, line 39)
[Log] Move left: Extra score - 820.8 Avg number of moves 69.2 (ai.js, line 39)
[Log] Move down: Extra score - 430.4 Avg number of moves 46.2 (ai.js, line 39)
[Log] Move down: Extra score - 549.6 Avg number of moves 51.2 (ai.js, line 39)
[Log] Move up: Extra score - 520 Avg number of moves 47.2 (ai.js, line 39)
[Log] Move left: Extra score - 462.4 Avg number of moves 48.4 (ai.js, line 39)
[Log] Move left: Extra score - 684.8 Avg number of moves 56.6 (ai.js, line 39)
[Log] Move left: Extra score - 476.8 Avg number of moves 47 (ai.js, line 39)
[Log] Move down: Extra score - 588 Avg number of moves 53.8 (ai.js, line 39)
[Log] Move up: Extra score - 590.4 Avg number of moves 55.2 (ai.js, line 39)
[Log] Move up: Extra score - 477.6 Avg number of moves 44.4 (ai.js, line 39)
[Log] Move right: Extra score - 468 Avg number of moves 42.8 (ai.js, line 39)
[Log] Move up: Extra score - 794.4 Avg number of moves 66.4 (ai.js, line 39)
[Log] Move down: Extra score - 716.8 Avg number of moves 57.2 (ai.js, line 39)
[Log] Move up: Extra score - 608.8 Avg number of moves 45.2 (ai.js, line 39)
[Log] Move down: Extra score - 603.2 Avg number of moves 53.4 (ai.js, line 39)
[Log] Move left: Extra score - 548.8 Avg number of moves 44.6 (ai.js, line 39)
[Log] Move right: Extra score - 888.8 Avg number of moves 73.6 (ai.js, line 39)
[Log] Move left: Extra score - 748.8 Avg number of moves 59.2 (ai.js, line 39)
[Log] Move down: Extra score - 512 Avg number of moves 45.6 (ai.js, line 39)
[Log] Move down: Extra score - 1114.4 Avg number of moves 81.2 (ai.js, line 39)
[Log] Move up: Extra score - 475.2 Avg number of moves 42.4 (ai.js, line 39)
[Log] Move left: Extra score - 699.2 Avg number of moves 56.6 (ai.js, line 39)
[Log] Move down: Extra score - 452 Avg number of moves 35.2 (ai.js, line 39)
[Log] Move left: Extra score - 567.2 Avg number of moves 47.8 (ai.js, line 39)
[Log] Move up: Extra score - 912.8 Avg number of moves 72.4 (ai.js, line 39)
[Log] Move down: Extra score - 494.4 Avg number of moves 45.2 (ai.js, line 39)
